product_id,sku,name,description,category,manufacturer,size,color,material,cena_hurtowa,cena_detaliczna,stan,weight,ean,images
13,CS-861B #14,PIERŚCIONEK,"PIERŚCIONEK OTWARTY Z CZARNEJ , GŁADKIEJ CERAMIKI , SREBRO 925 RODOWANE , BIAŁE CYRKONIE .",Biżuteria/Srebro 925/Pierścionki,AllSilver,14,,,57.00,168.26,3,7.840,,http://www.allsilver.pl/media/towary/big/c51ce410c124a10e0db5e4b97fc2af39.jpg
14,CS-861B #16,PIERŚCIONEK,"PIERŚCIONEK OTWARTY Z CZARNEJ , GŁADKIEJ CERAMIKI , SREBRO 925 RODOWANE , BIAŁE CYRKONIE .",Biżuteria/Srebro 925/Pierścionki,AllSilver,16,,,57.00,168.26,3,8.070,,http://www.allsilver.pl/media/towary/big/aab3238922bcc25a6f606eb525ffdc56.jpg
15,CS-861B #18,PIERŚCIONEK,"PIERŚCIONEK OTWARTY Z CZARNEJ , GŁADKIEJ CERAMIKI , SREBRO 925 RODOWANE , BIAŁE CYRKONIE .",Biżuteria/Srebro 925/Pierścionki,AllSilver,18,,,57.00,168.26,3,8.690,,http://www.allsilver.pl/media/towary/big/9bf31c7ff062936a96d3c8bd1f8f2ff3.jpg
15741,CS-861B #12,PIERŚCIONEK,"PIERŚCIONEK OTWARTY Z CZARNEJ , GŁADKIEJ CERAMIKI , SREBRO 925 RODOWANE , BIAŁE CYRKONIE .",Biżuteria/Srebro 925/Pierścionki,AllSilver,12,,,57.00,168.26,3,7.650,,http://www.allsilver.pl/media/towary/big/d3c72e9ce3e5d94a4d58cdea05d46dc3.jpg
20,CS-057GW #18,PIERŚCIONEK,"PIERŚCIONEK PODWÓJNY, BIAŁA CERAMIKA , SREBRO 925 ZŁOCONE , BIAŁE CYRKONIE .",Biżuteria/Srebro 925/Pierścionki,AllSilver,18,,,57.00,168.26,0,5.230,,http://www.allsilver.pl/media/towary/big/98f13708210194c475687be6106a3b84.jpg
3701,CS-057GW #24,PIERŚCIONEK,"PIERŚCIONEK PODWÓJNY, BIAŁA CERAMIKA , SREBRO 925 ZŁOCONE , BIAŁE CYRKONIE .",Biżuteria/Srebro 925/Pierścionki,AllSilver,24,,,57.00,168.26,0,5.230,,http://www.allsilver.pl/media/towary/big/b181eaa49f5924e16c772dcb718fcd0f.jpg
4473,CS-057GW #16,PIERŚCIONEK,"PIERŚCIONEK PODWÓJNY, BIAŁA CERAMIKA , SREBRO 925 ZŁOCONE , BIAŁE CYRKONIE .",Biżuteria/Srebro 925/Pierścionki,AllSilver,16,,,57.00,168.26,0,5.110,,http://www.allsilver.pl/media/towary/big/f8151fdd6026f82036ab63052b97505b.jpg
24,CS-094SB #12,PIERŚCIONEK,"PIERŚCIONEK, CZARNA CERAMIKA, SREBRO RODOWANE, BIAŁE CYRKONIE",Biżuteria/Srebro 925/Pierścionki,AllSilver,12,,,53.00,156.46,3,4.760,,http://www.allsilver.pl/media/towary/big/1ff1de774005f8da13f42943881c655f.jpg
32,CS-094SB #18,PIERŚCIONEK,"PIERŚCIONEK, CZARNA CERAMIKA, SREBRO RODOWANE, BIAŁE CYRKONIE",Biżuteria/Srebro 925/Pierścionki,AllSilver,18,,,53.00,156.46,3,5.110,,http://www.allsilver.pl/media/towary/big/6364d3f0f495b6ab9dcf8d3b5c6e0b01.jpg
34,CS-094SB #10,PIERŚCIONEK,"PIERŚCIONEK, CZARNA CERAMIKA, SREBRO RODOWANE, BIAŁE CYRKONIE",Biżuteria/Srebro 925/Pierścionki,AllSilver,10,,,53.00,156.46,3,4.290,,http://www.allsilver.pl/media/towary/big/e369853df766fa44e1ed0ff613f563bd.jpg
36,CS-862BY #12,PIERŚCIONEK,"PIERŚCIONEK, CZARNA CERAMIKA, SREBRO ZŁOCONE, BIAŁE CYRKONIE",Biżuteria/Srebro 925/Pierścionki,AllSilver,12,,,55.00,162.36,3,7.830,,http://www.allsilver.pl/media/towary/big/19ca14e7ea6328a42e0eb13d585e4c22.jpg
37,CS-862BY #16,PIERŚCIONEK,"PIERŚCIONEK, CZARNA CERAMIKA, SREBRO ZŁOCONE, BIAŁE CYRKONIE",Biżuteria/Srebro 925/Pierścionki,AllSilver,16,,,55.00,162.36,3,8.330,,http://www.allsilver.pl/media/towary/big/a5bfc9e07964f8dddeb95fc584cd965d.jpg
38,CS-862BY #14,PIERŚCIONEK,"PIERŚCIONEK, CZARNA CERAMIKA, SREBRO ZŁOCONE, BIAŁE CYRKONIE",Biżuteria/Srebro 925/Pierścionki,AllSilver,14,,,55.00,162.36,3,8.020,,http://www.allsilver.pl/media/towary/big/a5771bce93e200c36f7cd9dfd0e5deaa.jpg
